,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," Pomegranate framework intends to provide a library of code written in PHP and Javascript to help developers create Ajax-based web applications easier. It is based on: PHP5.3+, Javascript, HTML5 and Zend Framework.",02.23.2016,https://www.programmableweb.com/framework/pomegranate-php-framework-mehran-ziadloo,PHP,Independent Developer,http://sourceforge.net/projects/pome-framework/,,
1," The Hcon Security Framework is written in Java and aims to provide a semi-automated secutiry testing platform. It intends to provide features such as web penetration testing, web exploits development, and open source intelligence.",02.23.2016,https://www.programmableweb.com/framework/hcon-security-java-framework-hcon,Java,hcon.in,http://www.hcon.in/,http://sourceforge.net/projects/hconframework/?source=directory,
2," WHOA is a complete O-O MVC component and event-driven web application framework currently written for PHP with ports for Java, Python and ASP.NET scheduled.",02.12.2016,https://www.programmableweb.com/framework/whoa-php-framework-dradis,Java,Independent Developer,http://sourceforge.net/projects/whoa-framework/?source=directory,,
3, Neuroph is lightweight Java neural network framework that aims to provide a way to develop common neural network architectures. It is described as containing an open source Java library with small number of basic classes which correspond to basic NN concepts. Also provides a GUI neural network editor to create Java neural network components.,02.12.2016,https://www.programmableweb.com/framework/neuroph-java-framework-sourceforge,Java,Slashdot Media,http://neuroph.sourceforge.net/,,
4, PureMVC is a lightweight framework that offers developers a tool to create applications based upon the classic Model-View-Controller design meta-pattern. The framework provides a Java port of the AS3 reference implementation of the Standard Version. It does not support modular programming since it uses Singletons as Core actors rather than the Multitons used in the MultiCore Version.,02.12.2016,https://www.programmableweb.com/framework/puremvc-java-framework-puremvc,Java,Independent Developer,http://puremvc.github.io/,https://github.com/PureMVC/puremvc-java-standard-framework,
5, Logback is a Java framework that intends to offer a generic architecture that is divided into three modules that build to create a basic framework for web development.,02.12.2016,https://www.programmableweb.com/framework/logback-java-framework-quality-open-software,Java,Quality Open Software,http://logback.qos.ch/,,
6, The Java-Object-Diff framework is a Java library that intends to find differences between Java objects as well as merge them together. The framework aims to operate by taking two objects to generate a representational tree structure that highlights any differences between the objects and their children. The aim of the framework's tree structure is to extract more information or apply changes to the underlying data structures.,02.12.2016,https://www.programmableweb.com/framework/java-object-diff-framework-daniel-bechler,Java,Independent Developer,http://sqisher.github.io/java-object-diff/,https://github.com/SQiShER/java-object-diff,
7, Prerender is a Java Framework that aims to use a java filter that prerenders a javascript rendered page and returns the HTML to a search engine crawler to facilitate SEO.,02.10.2016,https://www.programmableweb.com/framework/prerender-java-framework-prerender,Java,Prerender,https://prerender.io/,https://github.com/greengerong/prerender-java,
8," ibGDX is a cross-platform Java game development framework based on OpenGL (ES) that works on Windows, Linux, Mac OS X, Android, your WebGL enabled browser and iOS. The framework aims to provide an environment for rapid prototyping and iterations for developers.",02.10.2016,https://www.programmableweb.com/framework/libgdx-java-framework-libgdx,Java,Mario Zechner,https://libgdx.badlogicgames.com/,https://github.com/libgdx/libgdx,
9, The Restlet Java framework allows for routing and filtering for their client and server Java API. The aim is to provide secure and scalable RESTful web APIs.,02.10.2016,https://www.programmableweb.com/framework/restlet-java-framework-restlet,Java,Restlet,http://restlet.com/,https://github.com/restlet/restlet-framework-java,
