,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," The Sail.js Node.js Framework is designed to help developers create Node.js websites and applications. It provides methods for managing assets, uploading files, and managing features.",12.10.2015,https://www.programmableweb.com/framework/sail.js-node.js-framework-sail.js,"JavaScript, Node.js",Independent Developer,http://sailsjs.org/#!/documentation/concepts,http://sailsjs.org/#!/documentation/concepts,
1," The Hapi framework's objective is to be a configuration-centric framework with built-in support for input validation, caching, authentication, and other essential facilities for building web and services applications. hapi enables developers to focus on writing reusable application logic in a highly modular and prescriptive approach.",12.07.2015,https://www.programmableweb.com/framework/hapi-node.js-framework-hapi,Node.js,Independent Developer,http://hapijs.com/,https://github.com/hapijs/hapi,
2," Pomelo offers developers a scalable game server framework for node.js. The framework provides the development framework and many related components, including libraries and tools. Pomelo aims to be suitable for real-time web applications; its distributed architecture makes pomelo scale differently than other real-time frameworks.",12.07.2015,https://www.programmableweb.com/framework/pomelo-node.js-framework-netease,Node.js,NetEase,http://pomelo.netease.com/,https://github.com/NetEase/pomelo,
3," Provides extensible common utility classes for rapid JSON API development. Offers the following functionality for abstration of middleware specific code for framework agnostic use; handling of request/response lifecycle; built in CRUD functionality via find, findOne, create, update, delete functions for various resources.",12.07.2015,https://www.programmableweb.com/framework/facet-node.js-framework-facet,Node.js,Independent Developer,http://facet.github.io/platform/,https://github.com/facet/platform,
4, Noder Node.js framework aims to be a lightweight and flexible core to create a scalable API. Starting a project quickly with a modular API.,12.07.2015,https://www.programmableweb.com/framework/noder-node.js-framework-nicolab,Node.js,Nicolab,http://noder.io/,https://github.com/noder-io/noder.io,
5, Restify is a Node.js framework that intends to offer a micro-framework for building REST APIs.,12.07.2015,https://www.programmableweb.com/framework/restify-node.js-framework-restify,Node.js,Restify,http://restify.com/,https://github.com/restify/node-restify,
6," RhapsodyJS aims to be a HMVC framework that runs on top of Express 4 while also creating a RESTful API for models. Additionally, it supports sockets, middleware/policies system, and includes other features.",12.07.2015,https://www.programmableweb.com/framework/rhapsody-node.js-framework-rhapsodyjs,Node.js,Independent Developer,http://rhapsodyjs.github.io/,https://github.com/rhapsodyjs/RhapsodyJS,
7," Koa aims to be an expressive HTTP middleware for node.js to make web applications and APIs less complicated to write. Koa's middleware stack flows in a stack-like manner, allowing developers to perform actions downstream then filter and manipulate the response upstream. Koa's use of generators also facilates readability and robustness to an application.",12.07.2015,https://www.programmableweb.com/framework/koa-node.js-framework-koajs,Node.js,Independent Developer,http://koajs.com/,https://github.com/koajs/koa,
8," Percolator aims to be a framework for building quality HTTP APIs in Node.js. It's features include quality, public-facing APIs, single page and mobile applications.",12.07.2015,https://www.programmableweb.com/framework/percolator-node.js-framework-gregg-caines,Node.js,Independent Developer,https://github.com/cainus/percolator,https://github.com/cainus/percolator,
9," KeystoneJS is a Node.js framework that intends to provide a content management system and web application framework built onexpress and mongoose. Keystone offers the ability to create web sites and application, and comes with an auto-generated Admin UI.",12.07.2015,https://www.programmableweb.com/framework/keystone-node.js-framework-keystonejs,Node.js,Independent Developer,https://github.com/keystonejs/keystone,http://www.keystonejs.com/,
10, diet.js aims to be a modular node.js web framework that offers scalable application and API development.,12.07.2015,https://www.programmableweb.com/framework/diet-node.js-framework-%C3%A1d%C3%A1m-hal%C3%A1sz,Node.js,Independent Developer,https://github.com/adamhalasz/diet,http://dietjs.com/,
11, Restberry intends to provide a framework for setting up RESTful JSON APIs with NodeJS. It allows for the indentification of models and setup CRUD API calls without the need for code writing to write code. API calls handle and identify issues as well as issue necessary HTTP responses and alerts to debug error responses. Restberry also provides authentication and permission checks and throws appropriate errors.,12.07.2015,https://www.programmableweb.com/framework/restberry-node.js-framework-mattias-eriksson,Node.js,Independent Developer,http://restberry.com/,https://github.com/materik/restberry,
12," The Loopback Node.js API Framework by StrongLoop provides a dynamic open source Node.js framework optimized for building end-to-end APIs for mobile, web, and other devices. The Loopback framework offers a set of Node.js modules that can be used together or independently to build applications. Developers can connect to multiple data sources, write business logic in Node.js, glue on top of existing services and data, connect using JS, iOS &amp; Android SDKs, and much more.",12.07.2015,https://www.programmableweb.com/framework/loopback-node.js-api-framework-strongloop,Node.js,StrongLoop,http://loopback.io/,https://github.com/strongloop/loopback/,
