,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," The Play framework offers developers a lightweight, stateless, web-friendly architecture. Built on Akka, Play aims to provide predictable and minimal resource consumption (CPU, memory, threads) for highly-scalable applications.",01.03.2016,https://www.programmableweb.com/framework/play-scala-framework-play,"Java, Scala",Independent Developer,https://www.playframework.com/,,
1," Jogger is a Java a micro-web framework that intends to provide a way of creating web applications programatically. Jogger integrates popular frameworks (Express.js, Ruby on Rails, Sinatra and Flask) for Java environments.",01.03.2016,https://www.programmableweb.com/framework/jogger-java-framework-elibom,Java,Elibomsms,https://github.com/elibom/jogger,,
2," SweetScala is a framework written in Scala that offers developers a web application framework to building dynamic web content that runs on various Java servers. The framework aims to provide the option to run on a Java Virtual Machine to use Java based libraries, servers, and large communities.",01.03.2016,https://www.programmableweb.com/framework/sweet-scala-framework-sweetscala,Scala,Independent Developer,https://code.google.com/p/sweetscala/,,
3," The Lift framework aims to provide secure development platforms for developers. The framework offers scalability, modular designs, and other features. The framework is written in Python.",01.03.2016,https://www.programmableweb.com/framework/lift-python-framework-lift,Scala,YourKit,http://liftweb.net/,,
4," Mocha aims to be a feature-rich JavaScript test framework that runs on Node.js and browsers. The framework allows for asynchronous testing that runs serially for reporting, while mapping uncaught exceptions to test cases.",01.01.2016,https://www.programmableweb.com/framework/mocha-node.js-framework-mochajs,Node.js,Independent Developer,http://mochajs.org/,https://github.com/mochajs/mocha,
5," Ezel aims to provide a boilerplate for Backbone projects that share code server/client, render server/client, and scale through modular architecture. The framework is used at Artsy to bootstrap new projects.",12.27.2015,https://www.programmableweb.com/framework/ezel-node.js-framework-artsy,Node.js,Artsy,http://ezeljs.com/,https://github.com/artsy/ezel,
6," Sequelize is a Node.js/io.js ORM that aims to be suited for Postgres, MySQL, MariaDB, SQLite and Microsoft SQL Server. It aims to feature transaction support, relations, read replication and more.",12.27.2015,https://www.programmableweb.com/framework/sequelize-node.js-framework-sequelize,Node.js,Independent Developer,http://docs.sequelizejs.com/en/latest/,https://github.com/sequelize/sequelize,
7," Tower is a Node.js framework that offers small components for building apps, manipulating data, and automating a distributed infrastructure.",12.27.2015,https://www.programmableweb.com/framework/tower-node.js-framework-tower,Node.js,Independent Developer,http://tower.github.io/,https://github.com/tower/tower,
8," Wintersmith is a simple yet flexible static site generator. It takes contents (markdown, less, scripts, etc), transforms them using plugins and outputs a static website (html, css, images, etc) that you can host anywhere.",12.27.2015,https://www.programmableweb.com/framework/wintersmith.js-node.js-framework-johan-nordberg,Node.js,Independent Developer,http://wintersmith.io/,https://github.com/jnordberg/wintersmith,
9," Sixpack is a Node.js framework that offers an A/B testing across multiple programming languages. The framework exposes an API for client libraries and contains two features: Sixpack-server which facilitates the responding to web requests as well as Sixpack-web, a web dashboard for tracking and acting on your A/B tests. Sixpack-web is optional.",12.27.2015,https://www.programmableweb.com/framework/sixpack-node.js-framework-seatgeek,Node.js,SeatGeek,http://sixpack.seatgeek.com/,https://github.com/seatgeek/sixpack,
10, Frisby is a REST API testing framework that intends to be built on node.js and Jasmine that facilitates API endpoint testing. The framework requires Node.js and NPM for installation.,12.27.2015,https://www.programmableweb.com/framework/frisby.js-node.js-framework-vance-lucas,Node.js,Independent Developer,http://frisbyjs.com/,https://github.com/vlucas/frisby/,
11, The Wheels Node.js Framework aims to offer an object-oriented web framework that is written in CoffeeScript.,12.27.2015,https://www.programmableweb.com/framework/wheels-node.js-framework-stanislav,Node.js,Independent Developer,http://stanislavfeldman.github.io/wheels/,https://github.com/stanislavfeldman/wheels,
12, The AXT framework intends to provide an extendable javascript framework for working both in Node.js and browsers. The frameworks aims to be for MVC appilcations in Node.js and client side servers.,12.27.2015,https://www.programmableweb.com/framework/axt-node.js-framework-gabriel-reiser,Node.js,Independent Developer,https://github.com/Shogun147/Katana,https://github.com/Shogun147/Katana,
13, Meryl aims to be a minimalist web framework for Node.js platforms that offers modication and minimal code.,12.27.2015,https://www.programmableweb.com/framework/meryl-node.js-framework-kadirpekel,Node.js,Independent Developer,https://github.com/kadirpekel/meryl,https://github.com/kadirpekel/meryl,
14," Omni.js is written in Node.js and offers a Backbone.js framework for real-time app development. The framework aims to provide models, collections, and events on the server, and automated permissions for clients.",12.27.2015,https://www.programmableweb.com/framework/omni-node.js-framework-kevin-bedi,Node.js,Independent Developer,https://github.com/Mashlol/omni,https://github.com/Mashlol/omni,
15," Itty is a Python framework that aims to provide a micro-framework that is influenced by Sinatra. The framework intends to support routing, basic responses, HTTP status codes, files uploads, static media serving as well as others.",12.27.2015,https://www.programmableweb.com/framework/itty-python-framework-daniel-lindsley,Python,Independent Developer,https://github.com/toastdriven/itty/,https://github.com/toastdriven/itty/,
16," Flask is a Python microframework that aims to be based on Werkzeug, Jinja 2.",12.27.2015,https://www.programmableweb.com/framework/flask-python-framework-armin-ronacher,Python,Independent Developer,http://flask.pocoo.org/,https://github.com/mitsuhiko/flask,
17, Cyclone provides developers with a web server framework for Python that implements the Tornado API as a Twisted protocol.,12.27.2015,https://www.programmableweb.com/framework/cyclone.io-python-framework-alexandre-fiori,Python,Independent Developer,http://cyclone.io/,https://github.com/fiorix/cyclone,
18, CherryPy allows for the building of web applications in a manner similar to building other object-oriented Python programs. This intends to permit a smaller source code.,12.27.2015,https://www.programmableweb.com/framework/cherrypy-python-framework-cherrypy,Python,Independent Developer,http://www.cherrypy.org/,https://groups.google.com/forum/#!forum/cherrypy-users,
19, Bottle intends to offer developers a lightweight WSGI micro web-framework for Python. The frameworks aims to be distributed as a single file module with no dependencies other than the Python Standard Library.,12.27.2015,https://www.programmableweb.com/framework/bottle-python-framework-marcel-hellkamp,Python,Independent Developer,http://bottlepy.org/docs/dev/,https://github.com/bottlepy/bottle,
20, Bobo aims to be a light-weight framework for creating WSGI web applications. It intends to offer mapping URLs to objects and calling objects to generate HTTP responses.,12.27.2015,https://www.programmableweb.com/framework/bobo-python-framework-zope-foundation,Python,Independent Developer,http://bobo.digicool.com/en/latest/index.html,https://github.com/zopefoundation/bobo,
21, Polpetta is a script that aims to be able to initialize a node.js server in any folder you want and behave like CGI or PHP. This aims to provide a not static file serving only as well as dynamic content.,12.27.2015,https://www.programmableweb.com/framework/polpetta-node.js-framework-andrea-giammarchi,Node.js,Independent Developer,https://github.com/WebReflection/polpetta,https://github.com/WebReflection/polpetta,
