,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,Alibaba Cloud OSS REST API,"Cloud, Business, Chinese, eCommerce, Games, Hosting, Media",08.08.2017,https://www.programmableweb.com/sdk/aliyun-android-sdk-alibaba-cloud," The Aliyun Android SDK by Alibaba Cloud interacts with the API to access cloud features for eCommerce, gaming, and media businesses. Resources include JAR package introduction, Maven dependencies, and synchronous and asynchronous interfaces. Aliyun is the cloud computing unit of Alibaba eCommerce, based in China.",https://www.alibabacloud.com/help/doc-detail/32043.htm?spm=a3c0i.o32045en.b99.135.771d9f47DzU4IO,Java,Alibaba Cloud,https://www.alibabacloud.com/help/doc-detail/32043.htm?spm=a3c0i.o31947en.b99.135.48c7aa59PLbT3m
1,Alibaba Cloud OSS REST API,"Cloud, Business, Chinese, eCommerce, Games, Hosting, Media",08.08.2017,https://www.programmableweb.com/sdk/aliyun-python-sdk-alibaba-cloud," The Aliyun Python SDK by Alibaba Cloud interacts with the API to access cloud features for eCommerce, gaming, and media businesses. It includes installation, a getting started guide, error handling, and testing. Aliyun is the cloud computing unit of Alibaba eCommerce, based in China.",https://github.com/aliyun/aliyun-oss-python-sdk?spm=a3c0i.o32026en.a3.1.757bdeb0kbAjtV,Python,Alibaba Cloud,https://www.alibabacloud.com/help/doc-detail/32026.htm?spm=a3c0i.o31947en.b99.117.48c7aa59qeHQ6u
2,Alibaba Cloud OSS REST API,"Cloud, Business, Chinese, eCommerce, Games, Hosting, Media",08.08.2017,https://www.programmableweb.com/sdk/aliyun-java-sdk-alibaba-cloud," The Aliyun Java SDK by Alibaba Cloud interacts with the API to access cloud features for eCommerce, gaming, and media businesses. Resources include SDK Homepage, API Docs, Developer Guide, Issues, and Release. Aliyun is the cloud computing unit of Alibaba eCommerce, based in China.",,Java,Alibaba Cloud,https://github.com/aliyun/aliyun-oss-java-sdk?spm=a3c0i.o32008en.a3.3.25df5383mhkFFY
3,Packet REST API v1,"Cloud, Hardware, Hosting",08.08.2017,https://www.programmableweb.com/sdk/packet-go-sdk-packet," The Packet Go SDK by Packet interacts with the API to access bare-metal features, allowing developers to implement hardware functionalities from remote services. It supports projects, facilities, operating systems, plans, SSH keys, and time stamps.",,Go,Packet,https://github.com/packethost/packngo
4,Packet REST API v1,"Cloud, Hardware, Hosting",08.08.2017,https://www.programmableweb.com/sdk/packet-php-sdk-packet," The Packet PHP SDK by Packet interacts with the API to access bare-metal features, allowing developers to implement hardware functionalities from remote services. A how to use it guide covers fetching for projects, facilities, operating systems, and plans.",,PHP,Packet,https://github.com/packethost/packet-php
5,Packet REST API v1,"Cloud, Hardware, Hosting",08.08.2017,https://www.programmableweb.com/sdk/packet-nodejs-sdk-packet," The Packet NodeJS SDK by Packet interacts with the API to access bare-metal features, allowing developers to implement hardware functionalities from remote services. Routes include projects, devices, facilities, operating systems, plans, memberships, invitations, transfers, users, SSH keys, and emails.",,Node.js,,https://github.com/packethost/packet-nodejs
6,Packet REST API v1,"Cloud, Hardware, Hosting",08.08.2017,https://www.programmableweb.com/sdk/packet-java-sdk-packet," The Packet Java SDK by Packet interacts with the API to access bare-metal features, allowing developers to implement hardware functionalities from remote services. It includes a getting started guide and code to create a Packet API Java Client.",,Java,Packet,https://github.com/packethost/packet-java
7,"Twitter REST API, Twitter FEED API","Social, Accounts",08.08.2017,https://www.programmableweb.com/sdk/tweety-twitter-activity-webhooks-net-sdk-muhamed-alghzawi," The Tweety Twitter Activity Webhooks .NET SDK by Muhamed AlGhzawi interacts unofficially with the API, allowing developers to access data from social activity posted on Twitter.
Tweety is a server-side tool for managing the Twitter Webhook APIs. Currently, Account Activity API is the only supported API.",,.Net,Independent Developer,https://github.com/mmgrt/Tweety
8,2Captcha REST API v2,"Captcha, Images, Recognition, Text",08.08.2017,https://www.programmableweb.com/sdk/2captcha-nodejs-sdk-artem-bochkarev, The 2Captcha NodeJS SDK by Artem Bochkarev interacts with the API to access captcha decoding features. It includes installation and usage as resources.,,Node.js,2Captcha,https://www.npmjs.com/package/2captcha-api
9,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-java-sdk-chris-allen, The MyAnimeList Java SDK by Chris Allen allows developers to integrate the MyAnimeList API into their Java projects and applications.,,Java,Independent Developer,https://github.com/thegreatchrispy/mal4j
10,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-java-sdk-ben-doerr, The MyAnimeList Java SDK by Ben Doerr allows developers to integrate the MyAnimeList API into their Java projects and applications. This SDK uses Project Lombok to reduce boiler-plate code.,,Java,Independent Developer,https://github.com/bendoerr/mal-java-client
11,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-nodejs-sdk-josselin-buils, The MyAnimeList Node.js SDK by Josselin BUILS allows developers to integrate the MyAnimeList API into their Node.js projects and applications. Usage examples are included in the documentation.,,Node.js,Independent Developer,https://github.com/josselinbuils/MALVApi
12,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-nodejs-sdk-vaughan-hilts, The MyAnimeList Node.js SDK by Vaughan Hilts allows developers to integrate the MyAnimeList API into their Node.js projects and applications.,,Node.js,Independent Developer,https://github.com/hilts-vaughan/otaku-scraper
13,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-python-sdk-lofdat, The MyAnimeList Python SDK by lofdat allows developers to integrate the MyAnimeList API into their Python projects and applications.,,Python,Independent Developer,https://github.com/lofdat/YetAnotherMALAPI
14,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-nodejs-sdk-pratik-chaudhary, The MyAnimeList Node.js SDK by Pratik Chaudhary allows developers to integrate the MyAnimeList API into their Node.js applications. Usage examples are included in the documentation.,,Node.js,Independent Developer,https://github.com/abs-zero/node-mal
15,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-java-sdk-bunuble," The MyAnimeList Java SDK by bunuble allows developers to integrate the MyAnimeList API into their Java applications. In the future, this SDK will include methods from the unofficial API as well.",,Java,Independent Developer,https://github.com/bunuble/MAL-Java-Wrapper
16,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-nodejs-sdk-julien, The MyAnimeList Node.js SDK by Julien allows developers to integrate the MyAnimeList API into their Node.js applications. This SDK provides a more accurate search than the API alone.,,Node.js,Independent Developer,https://github.com/jballanger/chinmei
17,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-java-sdk-barracuda72, The MyAnimeList Java SDK by Barracuda72 allows developers to integrate the MyAnimeList API into their Java applications. This SDK is not yet finished.,,Java,Independent Developer,https://github.com/Barracuda72/MALApi
18,MyAnimeList REST API,"Animation, Collecting",08.08.2017,https://www.programmableweb.com/sdk/myanimelist-swift-sdk-nktn, The MyAnimeList Swift SDK by nktn allows developers to integrate the MyAnimeList API into their Swift applications. This SDK requires Xcode8.3.X (Swift 3).,,Swift,Independent Developer,https://github.com/nktn/MalKit
19,Packet REST API v1,"Cloud, Hardware, Hosting",08.07.2017,https://www.programmableweb.com/sdk/packet-python-sdk-packet," The Packet Python SDK by Packet communicates with the API to access bare-metal features, allowing developers to implement hardware functionalities from remote services.",,Python,Packet,https://github.com/packethost/packet-python
