,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,Classified directory with mapping features. Focus on Canadian cities including Toronto and Vancouver.,Classifieds,01.28.2008,https://www.programmableweb.com/mashup/maplist,Google Maps,"Classifieds, Mapping, eCommerce, Canadian",http://www.maplist.org,,
1,Ajaxonomy del.icio.us Spy is an application that allows you to find the newest bookmarks added to del.icio.us. The application allows you to filter the links that appear and has links to easily share the bookmark.,Social,01.27.2008,https://www.programmableweb.com/mashup/del.icio.us-spy,del.icio.us,"Social, Bookmarks",http://www.ajaxonomy.com/deliciousspy/,,
2,Make your own charts with this front-end tool to the Google Chart API. Use the fields on the right-hand side of the page to build your chart.,Charts,01.26.2008,https://www.programmableweb.com/mashup/googlecharter,Google Chart,"Charts, Tools",http://www.googlecharter.com,,
3,"View wineries on a map of Spain, complete with the wine's logo image embedded in the pushpin information.",Wine,01.25.2008,https://www.programmableweb.com/mashup/wine-spain,Google Maps,"Wine, Mapping",http://www.yvinos.com/mapa-denominaciones-origen.php,,
4,"Project that aims to collect information about airports, airlines, and connections world wide. The collection of data about airline connections is made automatically. 1000 airports, 1000 airlines. Google Chart API used for airport stats.",Air Travel,01.25.2008,https://www.programmableweb.com/mashup/theairdb,"Google Maps, Google Chart","Air Travel, Air Travel, Mapping, Charts",http://www.theairdb.com,,
5,"Search, watch and download any YouTube video.",Video,01.24.2008,https://www.programmableweb.com/mashup/wantmymedia,YouTube,"Video, Music",http://www.wantmymedia.com,,
6,"Something more about music bands, lyrics, and songs. Portuguese version online. English version in progress.",Photos,01.23.2008,https://www.programmableweb.com/mashup/sompedia,"Flickr, Technorati, YouTube, Last.fm, Google Custom Search","Photos, Video, Music, Wiki, Reference",http://www.sompedia.com,,
7,Brazilian site that shows music suggestions along with music videos.,Video,01.23.2008,https://www.programmableweb.com/mashup/eletrohitz,"YouTube, Last.fm","Video, Music, Brazilian",http://www.eletrohitz.com.br,,
8,"Map of caves on the Mendip Hills, UK, from Bracknell District Caving Club.",England,01.23.2008,https://www.programmableweb.com/mashup/mendip-caves,Google Maps,"England, Mapping, Sports",http://www.bdcc.co.uk/mendip.html?Latitude=51.25858474213449&Longitude=-2.674398422241211&Zoom=16&Grid=UK%20OS&MapType=Satellite&Overlay=Caves,,
9,"The gadget lets the users turn their RSS album of latest albums, all albums and others into an always updated photo slideshow. They can paste the code into their other web presence like their blog, or any social website they have.",Photos,01.23.2008,https://www.programmableweb.com/mashup/photo-feed-slideshow-wigdet,"Flickr, Google Gadgets","Photos, Widgets, Feeds",http://www.gmodules.com/ig/creator?url=http%3A//hosting.gmodules.com/ig/gadgets/file/109057189550731324131/Avisthird.xml,,
10,"Post your case and let lawyers or citizens respond to you. You are anonymous, and you decide who to engage with. Uses Google Maps to geocode zipcodes of posts, and uses libgmail, the Google apps for your domain email, for its anonymous email system.",Mapping,01.22.2008,https://www.programmableweb.com/mashup/helpmesue,Google Maps,"Mapping, Law",http://www.helpmesue.com,,
11,"Game that keeps track of Twitter users twooshes and ranks them accordingly. Tracks the length of your tweets, and the closer to a 140 character average, the better your score.",Games,01.22.2008,https://www.programmableweb.com/mashup/tweet140,Twitter,"Games, Messaging, Humor",http://www.tweet140.com/,,
12,"A dynamic, illustrated adventure by BoingBoing co-founder Mark Frauenfelder, in which lollipops are consumed and new friends are made.",Widgets,01.21.2008,https://www.programmableweb.com/mashup/adventure-lollipopland,iGoogle Themes,"Widgets, Graphics, Customization",http://www.google.com/ig/directory?type=themes&url=themeapi.googlecode.com/svn/trunk/markf/markf.xml,,
13,Whatsikat Boso shows how Filipino bloggers are feeling right now. It extracts feelings from Filipino blogs. Take a peek into their moods and see how that makes you feel.,Blogging,01.21.2008,https://www.programmableweb.com/mashup/whatsikat-boso,We Feel Fine,Blogging,http://whatsikat.com/boso/,,
14,"Built with Flash, this app delivers eBay searches with real time countdowns, bid counts and prices. Future updates will let you watch up to 12 countdowns in 1 window and show results in map view.",eCommerce,01.20.2008,https://www.programmableweb.com/mashup/bidflyer,eBay,"eCommerce, Auctions, Visualizations",http://www.bidflyer.com,,
15,"20,000 European camping sites on one map.",Recreation,01.20.2008,https://www.programmableweb.com/mashup/campingmap,Google Maps,"Recreation, Mapping, European",http://www.thecampingmap.com/,,
16,Find and rate hotties from Google Streetview.,Mapping,01.20.2008,https://www.programmableweb.com/mashup/streetview-hotties,Google Maps,"Mapping, Adult, Photos",http://streetviewhotties.com/,,
17,"Search for homes, get estimates for homes using Zillow, and find lenders for financing your home purchase.",Mapping,01.19.2008,https://www.programmableweb.com/mashup/houseside,"Google Maps, Zillow","Mapping, Real Estate",http://www.houseside.com,,
18,Interactive chart generator with in-place Ajax display of generated charts. Now uses the Google Chart API.,Charts,01.18.2008,https://www.programmableweb.com/mashup/chartpart,Google Chart,Charts,http://chartpart.com/,,
19,"A proof-of-concept mash-up for the MyBlogLog API, currently in limited beta. Gets current visitors for a site, queries the API for tags and user IDs on outside services, and displays current Twitter status, if one exists.",Social,01.18.2008,https://www.programmableweb.com/mashup/mybloglog-first-steps,"Twitter, MyBlogLog","Social, Messaging",http://kentbrewster.com/first-steps-with-the-mybloglog-api/,,
20,"Calculate the number of calories you burn while running, bicycling, or swimming.",Widgets,01.18.2008,https://www.programmableweb.com/mashup/calorie-gadget,Google Gadgets,"Widgets, Sports",http://moshbit.com/exercise/calories,,
21,Dutch municipality site that has all building permit requests online.,Mapping,01.18.2008,https://www.programmableweb.com/mashup/nijmegen-permits,Google Maps,"Mapping, Government",http://www5.nijmegen.nl/voifrontend,,
22,"Google search with option to save any interesting results to a temporary folder, and the folder contents refine search terms, search re-runs. Handy way to discover new things or target what you really meant.",Search,01.16.2008,https://www.programmableweb.com/mashup/googlupon,,"Search, Semantics",http://www.googlupon.com,,
23,"A Finnish flights and aviation site that uses Google Maps to show all official airports in Finland. On the detailed airport page, also view YouTube videos.",Mapping,01.16.2008,https://www.programmableweb.com/mashup/lennot,"Google Search, Google Maps, YouTube","Mapping, Air Travel, Air Travel, Nordic, Video",http://www.lennot.nu/,,
24,"Read Filipino Internet buzz, what's new on the Internet for Filipinos. News, celebrity blogs, and more.",Bookmarks,01.15.2008,https://www.programmableweb.com/mashup/whatsikat,"Flickr, FeedBurner, del.icio.us, YouTube, Yahoo Answers, Digg","Bookmarks, News Services, Photos, Video",http://whatsikat.com,,
25,Search service for real estate or apartments to rent in Singapore.,Mapping,01.15.2008,https://www.programmableweb.com/mashup/propertyguru-singapore,Google Maps,"Mapping, Real Estate",http://www.propertyguru.com.sg,,
26,Use this gadget to preview what everyone is digging at digg.com. Dynamically add or remove tabs for the topics of your interest.,Widgets,01.15.2008,https://www.programmableweb.com/mashup/digg-preview,"Google Gadgets, Digg","Widgets, Bookmarks",http://www.google.com/ig/directory?url=www.therandomhomepage.com/google/gadgets/DiggPreview/module.xml,,
27,"View YouTube in an un-cluttered more visual way, your search terms will display 50 video images, a description is shown by hovering over each image. Google searches are shown for News, Web, Images, Books and Blogs related to search terms.",Visualizations,01.14.2008,https://www.programmableweb.com/mashup/youtube-made-simple-and-visual,"Google Search, YouTube","Visualizations, Blogging, Search, Video",http://www.vizband.co.uk,,
28,Tax accountant locator service.,Accounting,01.14.2008,https://www.programmableweb.com/mashup/taxboost,"Google Maps, Yahoo Map Image, Google Notebook","Accounting, Mapping, Financial",http://www.taxboost.com,,
29,"Get the best deals from competing merchants, with product reviews and merchant ratings. Use one checkout.",Comparisons,01.14.2008,https://www.programmableweb.com/mashup/valuepia,"Amazon Product Advertising, Yahoo Shopping, Shopping.com, CNET, Shopzilla","Comparisons, eCommerce",http://mall.valuepia.com,,
30,You are at a scenic overlook and see distant summits. Find out what they are with HeyWhatsThat which provides panoramic sketches and the names of peaks. Browse panoramas that others have requested and generate your own.,Mapping,01.14.2008,https://www.programmableweb.com/mashup/heywhatsthat,Google Maps,"Mapping, Astronomy, Mapping",http://www.heywhatsthat.com/,,
31,Free online rental market facts and analysis service dedicated to helping renters and investors make better rental and investment decisions.,Rentals,01.12.2008,https://www.programmableweb.com/mashup/zilpy,Google Maps,"Rentals, Statistics, Real Estate",http://www.zilpy.com,,
32,Drive Score shows a map of what establishments are in a property’s neighborhood and calculates a Drive Score based on the number of places within a convenient driving distance.,Sustainability,01.12.2008,https://www.programmableweb.com/mashup/drive-score,"Google Maps, Google Base","Sustainability, Real Estate, Mapping, Travel",http://drivescore.fizber.com,,
33,Climate lookup allows homebuyers to check what the climate is like in another town or city all year round before they move there.,Weather,01.12.2008,https://www.programmableweb.com/mashup/us-climate-watch-fizber.com,,"Weather, Weather",http://climate.fizber.com/,,
34,"Enter your search terms and then see 50 thumbnails of videos. Hover over one for a description and click it to play the video. Also lists web, news, blog, image, and book search results.",Search,01.11.2008,https://www.programmableweb.com/mashup/visual-youtube,YouTube,"Search, Video, Visualizations",http://www.vizband.co.uk,,
35,A slideshow of photos from Flickr. Show your photos or photos matching certain tags. Highly customizable with ability to change many display options. Uses Flickr and Widgetbox APIs.,Widgets,01.11.2008,https://www.programmableweb.com/mashup/flickr-slideshow-0,"Flickr, Widgetbox","Widgets, Photos",http://www.widgetbox.com/widget/flickr-slideshow,,
36,"A fun way to explore Flickr images based on your own taste. Select a couple of images you like and instantly get recommendations, based on like-minded people.",Photos,01.11.2008,https://www.programmableweb.com/mashup/flickr-insuggest,Flickr,"Photos, Recommendations",http://images.insuggest.com,,
37,"MapEcos is a map of US facilities with information on pollution and improvement efforts. Provides information for 23,000 facilities as well as data aggregated at company, industry, and geographic levels. Data from EPA.",Environment,01.11.2008,https://www.programmableweb.com/mashup/mapecos-pollution-mashup,Google Maps,"Environment, Environment, Mapping, Sustainability",http://www.MapEcos.org,,
