,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,"Search and view Flickr photoset slideshows in cool 3D layouts: Cover Flow, Carousel, Grid, Spiral, Roller Coaster, and Time Machine. Powered by OpenFlux 3D, aka PlexiGlass.
Includes large photo view, full screen mode, thumbnail strip and photo shuffling.",Photos,11.03.2008,https://www.programmableweb.com/mashup/flickorama-3d-flickr-photoset-viewer,Flickr,"Photos, 3D, Visualizations",http://www.randomfractals.com/Flickorama/Flickorama.html#text=bugatti,,
1,"Printed by Moo, powered by Dopplr. Gives you Moo stickers using your city colours and trips from Dopplr.",Travel,11.03.2008,https://www.programmableweb.com/mashup/mooplr,"dopplr, MOO","Travel, Photos",http://www.mooplr.com,,
2,"Allows you to create a custom RSS feed from searching twitter. Get updates by topic, not by person.",Blogging,11.02.2008,https://www.programmableweb.com/mashup/tweetscribe,Twitter,"Blogging, Feeds",http://www.tweetscribe.com,,
3,Mapping tour of where to shop in Singapore.,eCommerce,11.01.2008,https://www.programmableweb.com/mashup/singapore-shopping-tour,Google Maps,"eCommerce, Mapping",http://www.singaporeshoppingtour.com,,
4,Track your own and your friends travels,Mapping,10.30.2008,https://www.programmableweb.com/mashup/wolpy,"Google Maps, GeoNames, Panoramio","Mapping, Travel",http://wolpy.com,,
5,Check the open hours and location of a business in your local community before you go. Relies on community members in towns and cities to build up the database of businesses and their operating hours.,Mapping,10.27.2008,https://www.programmableweb.com/mashup/yellowhours,Google Maps,"Mapping, Localization",http://www.yellowhours.com,,
6,"A music-based mashup that connects and filters disparate music metadata from across the Web, with an aim towards accuracy and focus on the music. Combines many different APIs from YouTube to Last.fm.",Music,10.26.2008,https://www.programmableweb.com/mashup/beardscratchers-compendium,"Flickr, Upcoming.org, Amazon Product Advertising, Eventful, Yahoo Search, YouTube, Last.fm, MusicBrainz, Twitter, Gruvr, Yahoo Music, MTV, Wikipedia, Spotify Echo Nest, Songkick","Music, Video, Events, Music, eCommerce, Photos",http://beardscratchers.com/,,
7,Gender Analyzer figures out if a text is written by a male or female using artificial intelligence.,Adult,10.26.2008,https://www.programmableweb.com/mashup/genderanalyzer,uClassify,"Adult, Semantics",http://www.genderanalyzer.com,,
8,"Wordpress plugin that produces product comparison ""widgets"" from multiple API sources: eBay, Amazon and Commission Junction currently. It does it on-the-fly, caching the data in the Wordpress database, so once data is initially fetched for a particular page it works very fast. Some manual work is required (like with all product comparison) to get accurate results but the end product looks very professional.",eCommerce,10.25.2008,https://www.programmableweb.com/mashup/storeminator,"Amazon Product Advertising, eBay, Amazon EC2, Commission Junction","eCommerce, Auctions, Comparisons",http://www.storeminator.com,,Web
9,Hockey equipment comparison shopping. Built using the shopping.com API.,Sports,10.25.2008,https://www.programmableweb.com/mashup/hockey-shopper,Shopping.com,"Sports, eCommerce, Sports",http://Hockeyshopper.com,,
10,FuzzFind is a mashup that combines the power of the major search engines and social bookmarking sites to make it easier to find and identify the most relevant information.,Search,10.24.2008,https://www.programmableweb.com/mashup/fuzzfind-web-search,"del.icio.us, Yahoo Search, Microsoft Bing","Search, Bookmarks",http://www.fuzzfind.com/v2/,,
11,Google maps mashup combines driving directions and local search. On My Way is a useful facility for getting driving directions for a journey on Google Maps with points of interest on the way route also indicated.,Mapping,10.24.2008,https://www.programmableweb.com/mashup/my-way,Google Maps,"Mapping, Travel",http://linkstore.ru/myway/,,
12,A visualization of events. Bubbles featuring the most popular art and design events in New York City. Built using the Art Beat API.,New York City,10.23.2008,https://www.programmableweb.com/mashup/new-york-art-beat-bubble-machine,ArtBeat,"New York City, Events, Art, Design, Visualizations",http://www.nyartbeat.com/bubbles,,
