,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,"Information on trending topics : images, videos, tweets, q&amp;a and forum posts.",News Services,12.05.2011,https://www.programmableweb.com/mashup/newspaper.li,"Flickr, YouTube, Omgili",News Services,http://newspaper.li/,,
1,Health information aggregator.,Health,12.05.2011,https://www.programmableweb.com/mashup/usermeds,"Flickr, Google Search, Yahoo Answers","Health, Q&amp;A",http://www.usermeds.com/,,
2,"Its a combination of news and map, such that it relates a location to its news and also a news to its related location. It surely is a new way to keep yourself updated with a particular locations news. You can zoom in to a particular area on map and get its related news.
By default it will load the users country's news.
Also there is a search box to search for a location.
All you need to do is click on a location on map and it will get its latest news. Also you can hover your mouse over news shown to see its related locations on map.",News Services,12.04.2011,https://www.programmableweb.com/mashup/newsonmap.,"Google Maps, Yahoo Placemaker","News Services, Indian, Mapping",http://newsonmap.in,,
3,"Mob Mojo is a fun way to discover the best content about famous people mentioned on Twitter. Find articles, videos, and photos about celebrities, actors, actresses, politicians, athletes, musicians, and more.",Celebrities,12.03.2011,https://www.programmableweb.com/mashup/mob-mojo,"Twitter, Freebase, Tweetmeme","Celebrities, Video, Photos",http://www.mobmojo.com/,,
4,A ThinkUp-powered dashboard tracking 125 federal government agencies on Twitter. We rank which federal agencies are doing the best job of engaging their audiences on social media through Twitter.,Government,12.02.2011,https://www.programmableweb.com/mashup/federal-social-media-index,Twitter,"Government, Social",http://reports.expertlabs.org/fsmi/,,
5,Qr code maker in Turkish.,QR Codes,12.02.2011,https://www.programmableweb.com/mashup/qr-kod-olusturucu,Google Chart,"QR Codes, Application Development, Barcodes, Tools",http://www.qrkod.org/,,
6,"Thanks to Twilio, you will be able to communicate with your friends for free without knowing their numbers and preventing them to know yours.",Mobile,12.02.2011,https://www.programmableweb.com/mashup/free-sms,Twilio SMS,"Mobile, Messaging, Social",http://www.qmpeople.com/messages/,,
7,A Minecraft mod that adds tracking of carbon emissions using AMEE.,Science,12.02.2011,https://www.programmableweb.com/mashup/climatecraft,AMEE,"Science, Weather, Games, Humor, Environment",http://www.amee.com/developer/labs/climatecraft,,
8,"CuteOn.Me is a simple app to solicit shopping advice from your friends. It demonstrates how a real-world application can use awe.sm's batch link creation, metadata association, redirection patterns, conversion tracking, and advanced stats retrieval. Documentation and source available.",Fashion,12.01.2011,https://www.programmableweb.com/mashup/cuteon.me,"Twitter, awe.sm","Fashion, eCommerce, Social, Recommendations",http://developers.awe.sm/solutions/cuteonme/,,
9,"Using Twilio, qmpeople.com is the first social network which permits registered users to make free chats by using their cell phones. It is sufficient to click on ""Phone chat"" and our system will try to call two cell phones to establish a private channel among them.",Telephony,12.01.2011,https://www.programmableweb.com/mashup/free-phone-chat,Twilio,"Telephony, Chat",http://www.qmpeople.com/chat/,,
10,"An at-a-glance reference calendar featuring Britainâ€™s top events throughout the year, we include the leading Festivals, Sporting Occasions, Agricultural/County Shows, Exhibitions, Cultural &amp; Ceremonial Events, Displays and much more. We provide location details, contact &amp;/or web-links to the Organisers or Official Ticket Agent sites providing the facility to purchase tickets (where applicable) for these Events. In addition &amp; where available we have included extracts from press releases issued by the source, providing information on their Event.",Mapping,12.01.2011,https://www.programmableweb.com/mashup/livemap-uk-great-britain-events,Google Maps,"Mapping, Events, England",http://www.livemapuk.co.uk/great-britain-events/calendar.html,,
