,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,"Featuring free, unlimited MP3 downloads by independent artists and DJs from the Underground Music Spot plus your favorite mainstream artists. Mashup of the Underground Music Spot and Interactive Digital Music.",Music,02.10.2011,https://www.programmableweb.com/mashup/music-feed,"Google AdSense, Facebook, Twitter, Google Custom Search, LinkedIn, Tumblr, Google Webmaster Tools, iLike, Google App Engine, Yahoo Social Directory, Google Analytics Managment, Tinysong, twt.fm, Google Buzz, Grooveshark, Tiny-URL Open, Facebook Social Plugins","Music, Search",http://app.themusicfeed.com,,
1,0Boxer is an email plugin for Gmail. Makes a game out of your email and rewards you for reaching and maintaining inbox zero.,Games,02.09.2011,https://www.programmableweb.com/mashup/0boxer,Google Gmail OAuth,"Games, Email",http://www.0boxer.com/,,
2,Android application to help choose the correct color palette. Color Pal allows you to quickly browse and search through the most popular and newest color palettes from COLOURlovers.com. Easily save palettes to your favorites or email them to a friend.,Mobile,02.07.2011,https://www.programmableweb.com/mashup/color-pal,COLOURlovers,"Mobile, Reference, Visualizations, Telephony",http://www.linein.org/blog/2010/09/28/color-pal-for-android/,,
3,"Social photo badges for PicPlz, Burstn, Snapr and more. Display your follower count, number of photos and photos on your website or blog.",Photos,02.07.2011,https://www.programmableweb.com/mashup/badgeplz,"Instagram Graph, Burstn, Snapr, PicPlz, Steply","Photos, Social, Blogging, Widgets",http://badgeplz.com,,
4,Want to know how your elected representatives (in Canada) are acting on your behalf? RepresentMe helps you find out who's representing you and what they've done lately.,Reference,02.07.2011,https://www.programmableweb.com/mashup/representme.ca,"Google Maps, Freebase, Google Geocoding","Reference, Search, Mapping",http://representme.ca,,
5,"Ranker is a way to rank anything. By letting you drag and drop from a database of over 6 million list items, you can quickly create lists of anything. Every time you add an item to your list, you get info about the item as well as pictures and YouTube videos (optional).",Video,02.07.2011,https://www.programmableweb.com/mashup/ranker,Freebase,"Video, Social, Humor",http://www.ranker.com/,,
6,"myscenicdrives.com helps users find scenic drives for a casual Sunday afternoon, weekend getaway or adventurous road trip. Each scenic drive features an overview, interactive map, recommended places of interest, weather forecast and GPS directions. Features include the ability to make online travel reservations and a lightweight mobile version for smartphones.",Mapping,02.07.2011,https://www.programmableweb.com/mashup/myscenicdrives,Google Maps,"Mapping, Mobile, Travel, Reference",http://www.myscenicdrives.com/,,
7,"TagsUp.com combines search engines from dozens of companies and returns web, image, video, shopping, auction, classified, realtime, news, blog or discussion results.",Search,02.06.2011,https://www.programmableweb.com/mashup/tagsup,"eBay, Google Maps, Facebook, Twitter, Freebase, Yahoo BOSS, Omgili, Amazon Marketplace Web Service","Search, Mashups, Semantics, Social",http://www.tagsup.com/,,
8,Displays hospitals in Germany and shows their job offers.,Reference,02.06.2011,https://www.programmableweb.com/mashup/hospitals-germany,Google Maps,"Reference, Visualizations, Mapping, Search",http://www.medi-jobs.de/unternehmen/kliniken/,,
9,Subscribe to your favorite RSS Feeds and have them automatically appear in Instapaper. Login to Instascriber with your Instapaper credentials and enter the RSS feeds you would like to appear in Instapaper. Automatically add new items to Instapaper as they are published.,Blogging,02.05.2011,https://www.programmableweb.com/mashup/instascriber,"Google App Engine, Instapaper","Blogging, Social, Feeds",http://www.instascriber.com,,
10,"Statalyze offers a platform to analyze data from Twitter and perform statistical analysis. Creates charts, overview data and calculates the reach of a topic. Track anything from hashtags to words, names and topics.",Visualizations,02.05.2011,https://www.programmableweb.com/mashup/statalyze,"Twitter, Google Chart","Visualizations, Blogging, Social",http://www.statalyze.com,,
11,Experimental mashup that presents photo images from Point Reyes on a Google map. It also integrates with Google Search and Weather.com.,Reference,02.05.2011,https://www.programmableweb.com/mashup/visual-accents-point-reyes,"Google Search, Google Maps, Weather Channel","Reference, Search, Photos, Mapping",http://www.stefanganev.com/geophoto.pr/,,
12,Facebook Spectrum allows the users of Facebook to get a birds-eye view of their friends on Facebook. It acts as an insight application for your Facebook account.,Reference,02.04.2011,https://www.programmableweb.com/mashup/facebook-spectrum,"Google Maps, Google Chart, Google Visualization, Google Analytics Managment, Facebook Graph, Facebook Social Plugins","Reference, Social",http://www.facebookspectrum.com,,
13,"NZ Topo Map is an interactive topographic map of New Zealand using the official LINZ's 1:50,000 / Topo50 and 1:250,000 / Topo250 maps. Stewart Island and the Chatham Islands are also covered. Search and locate any landscape feature on the map: towns, streams, caves, glaciers, forests, huts, mountains and more. Share or bookmark results for later use.",Visualizations,02.03.2011,https://www.programmableweb.com/mashup/new-zealand-topographic-map,Google Maps,"Visualizations, Social, Reference, Mapping",http://www.topomap.co.nz/,,
14,"Last Call is a free, easy way to estimate your blood-alcohol level and determine if it's safe for you to drive after drinking. If not, use it to call a cab. Last Call also provides a list of top local DUI lawyers, provided by Avvo, to call for help if you need it.",Law,02.02.2011,https://www.programmableweb.com/mashup/last-call-blood-alcohol-estimator,Avvo,"Law, Mobile, Telephony, Reference",http://www.avvo.com/personal-portable-breathalyzer.html,,
15,"You’re in a new city, you've only got a day or two and you're obsessed with food. You don't want to gamble on random choices, nor do you want to wade through the 372 recommended restaurants on TripAdvisor or WikiTravel. What if a local food guru wrote up their top choices for the best foods to try, the best market to hit, the best shot of espresso, the best pint in town? What if you had a personal food guide, someone you trust, showing you each of the must-hit spots? That’s what noms.in is: the shortlist for a city, curated by a local food geek.",Food,02.02.2011,https://www.programmableweb.com/mashup/noms.,"Flickr, Google Maps","Food, Social, Mapping",http://noms.in,,
16,likeexchange.net is a website that enables Facebook fan page discovery and helps its members exchange likes with each other.,Social,02.02.2011,https://www.programmableweb.com/mashup/exchange,Facebook,"Social, Search",http://likeexchange.net,,
17,Give Freebase Sets some sample topics and it will figure out what they have in common and try to find more topics that match that set.,Humor,02.02.2011,https://www.programmableweb.com/mashup/freebase-sets,Freebase,"Humor, Search, Database",http://sets.freebaseapps.com/,,
18,"Connected is a personal relationship manager that brings your contacts and conversations together from email, social networks, calendar and phone.",Social,02.02.2011,https://www.programmableweb.com/mashup/connected,"Google Calendar, Facebook, Twitter, LinkedIn, Google Contacts, Google Gmail OAuth","Social, Reference",http://connectedhq.com,,
19,Music2Mail.com is a music notification service. You can subscribe to a list of your favorite artists and receive an email whenever one of these artists has a new release. Search artists or import from Last.fm.,Music,02.01.2011,https://www.programmableweb.com/mashup/music2mail,MusicBrainz,"Music, Search, Social",http://music2mail.com,,
20,"Music Artists Info is a mashup that shows information on a chosen artist. It shows photos, biography, top albums, top tracks and upcoming events. Events are marked on a map and you can watch a video of top tracks.",Music,02.01.2011,https://www.programmableweb.com/mashup/music-artists-info,"YouTube, Last.fm, Map24 AJAX","Music, Humor, Reference, Photos, Mapping",http://www.izapps.com/ms/,,
21,"Wherevent is a geolocation events search engine. Click on the ""Login"" button to connect to Wherevent with your facebook account. Find upcoming events and discover who is atttending. Enjoy the best events and share it with your friends. g",Events,01.31.2011,https://www.programmableweb.com/mashup/wherevent,"Google Maps, GeoNames, Yahoo PlaceFinder, Google Geocoding, Facebook Graph","Events, Social, Reference, Search, Mapping",http://www.wherevent.com,,
22,"Lets you instantly search the Italian Play.me music catalogue. Preview a track and if you are a subscriber, listen and download it on www.playme.it.",Music,01.31.2011,https://www.programmableweb.com/mashup/playme-instant,Playme,"Music, Search, Search",http://www.playmeinstant.com,,
23,"This Google Maps Mashup maps out the latest GeoTagged YouTube videos which are tagged with ""Egypt Protests"".",Mapping,01.29.2011,https://www.programmableweb.com/mashup/mapping-latest-geogtagged-youtube-videos-related-to-egypt-protests,"Google Maps, YouTube","Mapping, Search, Video, News Services",http://www.mibazaar.com/egyptprotestvids.html,,
24,This Google Maps Mashup animates thru latest tweets tagged with #egypt (related to Egypt Protests),Mapping,01.29.2011,https://www.programmableweb.com/mashup/egypt-protest-tweets-mapped,"Google Maps, Twitter","Mapping, News Services, Social, Search",http://www.mibazaar.com/egypt.html,,
25,"The purpose of this site is to help users instantly search for Youtube videos and instantly create playlists. You can also share your custom playlists easily with your friends on Facebook or Twitter as well as embed your playlists on your own websites or blogs. Lastly, you can save your playlists for future use all without the need of registration or login.
-Easily create, embed and share YouTube playlists.
-No sign up needed.
-Embed the playlist on your blog easily.",Search,01.28.2011,https://www.programmableweb.com/mashup/ytplaylist.com,YouTube,"Search, Music",http://www.ytplaylist.com/,,
26,"dishtip is a new kind of semantic mashup that performs a deep analysis of millions of web based-reviews, photos and content to determine the best dishes for a given location and where to eat them. It uses a multifaceted classification scheme to analyze multiple data points about user sentiments, dishes, ingredients, cuisines and then offers suggestions.",Food,01.28.2011,https://www.programmableweb.com/mashup/dishtip,"Google Maps, Google Single SignOn, Google Chart, Google Static Maps, Google Analytics Managment, Google OpenID, AddThis Menu, Google Geocoding, Facebook Social Plugins","Food, eCommerce, Mapping, Search, Social, Localization",http://www.dishtip.com,,
27,"Takes all YouTube videos posted to any public Facebook page, group or profile and plays them as a continuous stream.",Video,01.28.2011,https://www.programmableweb.com/mashup/facetu.be,"YouTube, Facebook Graph","Video, Social",http://facetu.be/,,
28,"SingRing is a service that makes over 2,000,000 fully licensed lyrics and over 2000 hi-quality karaoke songs available thanks to its exclusive partnership with national and international music publishers. SingRing is easily embedded for web, mobile, tv and field events.",Music,01.28.2011,https://www.programmableweb.com/mashup/singring,Google Custom Search,"Music, Search, Humor",http://www.singring.com,,
29,Guess which genre the artists belong to.,Humor,01.27.2011,https://www.programmableweb.com/mashup/genre-quiz,Last.fm,"Humor, Music, Social, Games",http://lastfmquiz.appspot.com/,,
30,"Dubtune uses YouTube, Soundcloud and Last.fm to create a Dubstep listening platform for fans of the genre. Soundcloud and Youtube are used as the basis for media streaming and Last.fm for meta data.",Music,01.27.2011,https://www.programmableweb.com/mashup/dubtune,"YouTube, Last.fm, SoundCloud","Music, Social",http://dubtune.com/,,
31,"This service pulls project details from either Google Code, or GitHub.",Open Source,01.26.2011,https://www.programmableweb.com/mashup/open-source-project-badge,GitHub,"Open Source, Widgets",http://adam.kahtava.com/journal/2010/02/24/the-project-badge-show-the-world-your-github-and-google-code-projects-on-your-blog/,,
32,"Snoopf helps you find restaurant coupons and gift cards for diners and eateries in over sixty different food types at restaurants nation wide. Search by cuisine or location to find delicious food, great deals, restaurant hours, locations and coupons for restaurants near you.",Search,01.25.2011,https://www.programmableweb.com/mashup/snoopf,"Google Maps, Google AdSense, Yelp Fusion","Search, Food, Coupons",http://www.snoopf.com,,
33,Provides free PDF ebooks document files and manuals to download.,Search,01.25.2011,https://www.programmableweb.com/mashup/pdf-king,Google Search,"Search, Reference",http://www.pdfking.com/,,
34,New songs and lyrics. Latest music videos and downloads from your favorite artists across the globe. Download songs free.,Search,01.25.2011,https://www.programmableweb.com/mashup/rhythm-and-blues,"Google Custom Search, MTV","Search, Music",http://lordzden-sentinels.blogspot.com/,,
35,Members of the Baltimore Node co-working space can use this call-to-get-in service powered by Twilio and Foursquare.,Social,01.24.2011,https://www.programmableweb.com/mashup/nodenock,"Twilio, Foxrate, Foursquare","Social, Mobile, Telephony",http://nodenock.heroku.com/,,
36,"Your professional world, visualized. Map your professional network to understand the relationships between you and your connections.",Social,01.24.2011,https://www.programmableweb.com/mashup/linkedin-labs-inmaps,LinkedIn,"Social, Visualizations, Reference",http://inmaps.linkedinlabs.com,,
37,"Ewelike is a free product information and price comparison site featuring reviews and commentary written and rated by users. Books, movies, video games, music, perfume.",eCommerce,01.24.2011,https://www.programmableweb.com/mashup/ewelike,"Google AdSense, Google Base, Google Books, Goodreads, Google Analytics Managment, Amazon Marketplace Web Service, Facebook Graph","eCommerce, Search",http://ewelike.com,,
38,"Skeedy is a free news aggregator. Topics are defined by users themselves. News come from several sources such as youtube, amazon, yahoo news, digg, flickr, etc.. Users can choose between three profiles (Geek, Fan, Calm) to receive more or less news.",News Services,01.24.2011,https://www.programmableweb.com/mashup/skeedy,"Flickr, YouTube, MusicBrainz, Thomson Reuters Open Calais, SemanticHacker, Bit.ly, Bing, Collecta","News Services, Search, Feeds",http://skeedy.com,,
39,Combines Twitter and Google Maps to find Twitter users in different locations and see what they're talking about. You can also filter tweets to find users talking about specific subjects.,Mapping,01.23.2011,https://www.programmableweb.com/mashup/seekatweet,"Google Maps, Twitter","Mapping, Social, Visualizations, Blogging",http://www.seekatweet.com,,
40,"Rail passenger tweets are plotted on a map, highlighting tweets about delays and cancellations.",Mapping,01.20.2011,https://www.programmableweb.com/mashup/uk-rail-passenger-tweet-mashup,"Google Maps, Twitter","Mapping, England, Transportation, Reference, Visualizations, Social",http://www.ukrailtweetmap.co.uk,,
41,"YouTube Cloud is like a tag cloud. Instead of tags, this cloud is based on YouTube video popularity. The bigger the font, the more views that video has had. You can filter the cloud by category and time (today, this week, this month, all time). A video thumbnail preview is shown when hovering over a cloud link. Clicking on the links pops up a dialog to watch the video.",Social,01.20.2011,https://www.programmableweb.com/mashup/youtube-cloud,YouTube,"Social, Video, Search",http://ytcloud.com,,
42,Listagram is a way to browse the life of your friends through a series of pictures on Instagram. It searches the Instagram user's public photo archive from the URL of one photo and shows like Frickr's photostream.,Photos,01.19.2011,https://www.programmableweb.com/mashup/listagram,Instagram Graph,"Photos, Mobile, Search, Social",http://listagr.am/,,
43,"Textaurant allows restaurant customers to wait online, not in line. Patrons can see wait times from any computer or mobile smartphone and can join the queue from anywhere. Restaurant hosts use a web-based waiting list that allows them to contact patrons via text or voice message when their table is almost ready.",Mobile,01.19.2011,https://www.programmableweb.com/mashup/textaurant,Twilio SMS,"Mobile, Telephony, Messaging, Messaging",http://www.turnstar.com/,,
44,"A new method of communication involving VOIP/wireless and cable call management phone booth systems. AirCellCall's technical architecture system combines several communication methods into one device that you can use to communicate even if you do not have a cell phone available. Designed to serve the general public, corporate and government entities.",Mobile,01.19.2011,https://www.programmableweb.com/mashup/aircellcall,"Twilio, Twilio SMS","Mobile, Telephony",http://aircellcall.com,,
45,"Report power outages via SMS or email. This app triangulates the location of the outage and gives it to your power company. It's easier to report outages, utilities can repair them faster and you get status updates.",Mobile,01.19.2011,https://www.programmableweb.com/mashup/my-powers-out,"Twilio, SendGrid, Twilio SMS","Mobile, Telephony, Messaging, Messaging",http://MyPowersOut.com,,
46,It's twitter translated to 40+ languages.,Blogging,01.19.2011,https://www.programmableweb.com/mashup/twxlate,"Twitter, Google Cloud Translation","Blogging, Social, Language, Translation",http://twxlate.com,,
47,"Gecko is the world's first all-in-one tool for mobile app developers to create Indoor Positioning of the Smartphone including support for maps of the indoor locations, accurate user position and integrated friend finder functionality.",Mapping,01.19.2011,https://www.programmableweb.com/mashup/gecko,LocLizard,"Mapping, Mapping, Tools, Mapping",http://developer.loclizard.com/,,
48,"GoldenDict aims to create a feature-rich dictionary lookup program. Uses WebKit for an accurate article representation, complete with all formatting, colors, images and links. Supports multiple dictionary file formats. Support for Wikipedia, Wiktionary or any other MediaWiki-based sites. Ability to use arbitrary websites as dictionaries via templated Url patterns. Pronunciations from forvo.com and many more features.",Reference,01.18.2011,https://www.programmableweb.com/mashup/goldendict,Forvo,"Reference, Dictionary",http://goldendict.org/,,
49,player4you is a free player that plays videos from Youtube without commercials and uses a crossfader to avoid breaks between the tracks. A live search makes it easy to find your favorite tracks. You can also login with your facebook account and save and share your playlists with your friends.,Humor,01.18.2011,https://www.programmableweb.com/mashup/player4you-0,"Google Search, YouTube, Google Analytics Managment, Facebook Graph, Facebook Social Plugins","Humor, Video, Music, Search",http://www.player4you.com,,
50,"See recent sales, client reviews, and market forecasts of real estate agents operating in your neighborhood.",Real Estate,01.18.2011,https://www.programmableweb.com/mashup/real-estate-agents-android,AgentRank,"Real Estate, Mapping",https://play.google.com/store/apps/details?id=com.realtybaron.agents,,
51,"A WordPress Plugin that conveniently displays an agent's AgentRank data- profile, sales, reviews, forecasts, etc., from RealtyBaron.",Real Estate,01.18.2011,https://www.programmableweb.com/mashup/agentrank-wordpress,AgentRank,"Real Estate, Reference, Blogging, Social",http://wordpress.org/extend/plugins/agentrank/,,
52,The lyrics instant search engine,Search,01.17.2011,https://www.programmableweb.com/mashup/instalyrics,"YouTube, MusicBrainz, Facebook, Twitter, MusixMatch","Search, Lyrics, Music",http://instalyrics.com,,
53,Quora Firefox extension.,Social,01.17.2011,https://www.programmableweb.com/mashup/quorafox,Quora,"Social, Q&amp;A",http://quorafox.com,,
