,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,"Developed as an add-on to the search engine, Molu, enter a city and then view it mapped, along with Flickr photos, Wikipedia entries, weather, YouTube videos, and more about the location. Print the image on a custom goodie.",Search,06.17.2007,https://www.programmableweb.com/mashup/molu-search-spider-places,"Flickr, Yahoo Maps, YouTube, Yahoo Geocoding, WeatherBug, Zazzle, FUTEF Wikipedia API","Search, Photos, Mapping, Travel, Video",http://www.themolu.com/places,,
1,The real estate portal of Dubai.,Real Estate,06.17.2007,https://www.programmableweb.com/mashup/dubai-real-estate,"Google Maps, Amazon S3, Google Base","Real Estate, Mapping",http://www.restate.ae,,
2,App lets you add random jokes to your Facebook Profile. Jokes come from a Google API-based site.,Widgets,06.16.2007,https://www.programmableweb.com/mashup/facebook-funny-jokes,"Facebook, Google Single SignOn","Widgets, Social",http://apps.facebook.com/funnyjokes,,
3,Six-player game of tag on Google Earth.,Games,06.16.2007,https://www.programmableweb.com/mashup/google-earth-tag,,"Games, Mapping",http://lingualgames.com/getag/,,
4,Free carpool matching service based on home location and work location.,Transportation,06.16.2007,https://www.programmableweb.com/mashup/carpool-connect,"Google Maps, GeoNames","Transportation, Social, Travel, Mapping",http://www.carpoolconnect.com/,,
5,Find RSS feeds and Atom feeds using a quick search. Site uses the Google AJAX Search API.,Search,06.16.2007,https://www.programmableweb.com/mashup/feedsearch.net,,"Search, Feeds, Feeds",http://feed-search.net/,,
6,"Stuff about old cars. Keep a record of the restoration, customization and day-to-day life of your old car, and share resources and information with other old car owners.",Auto,06.16.2007,https://www.programmableweb.com/mashup/autopendium,"Flickr, Amazon Product Advertising, eBay, Google Maps, YouTube, Amazon S3, Yahoo Answers, Facebook, Google Custom Search, Wikipedia","Auto, Social, Photos, Video, Auto",http://autopendium.com,,
7,Search millions of local and international movie titles and video trailers from YouTube. Also has links to Google for more information about your search term.,Movies,06.15.2007,https://www.programmableweb.com/mashup/movie-info-search,YouTube,"Movies, Video, Search",http://www.vidsmack.com,,
8,"By combining the Motel 6 property database with a list of attractions and cross-indexing them in Google Maps, the Attraction Finder functions as a searchable trip planner. Also, make a reservation near a desired vacation spot.",Travel,06.14.2007,https://www.programmableweb.com/mashup/motel-6-attraction-finder,Google Maps,"Travel, Mapping",http://www.attractionsmotel6.com/,,
9,"Web-based version of the SuperPages. Uses Virtual Earth mapping technology to find businesses and services in your area. Driving directions, hours, and more are provided. Good wifi finder.",Telephony,06.14.2007,https://www.programmableweb.com/mashup/superpages,Microsoft Bing Maps,"Telephony, Wi-Fi, eCommerce, Mapping",http://mapserver.superpages.com/mapbasedsearch/?map=mappoint&SRC=&CID=&device=&level=&scale=&lng=&lat=&C=&N=&streetaddress=&city=seattle&state=WA&zip=&L=&language=&country=,,
10,"A nicely designed, comprehensive real estate mashup that incorporates Virtual Earth to find, sell, or buy properties.",Real Estate,06.14.2007,https://www.programmableweb.com/mashup/redfin,Microsoft Bing Maps,"Real Estate, Mapping",http://www.redfin.com,,
11,"Real estate searching with unique neighborhood wizard lets you draw the exact boundaries of your search. Hovering over the pushpins opens a window with property photo, price, and link to detailed information.",Mapping,06.14.2007,https://www.programmableweb.com/mashup/john-l-scott-real-estate,Microsoft Bing Maps,"Mapping, Real Estate",http://www.johnlscott.com/,,
12,"Northern Colorado real estate site, where you can enter search criteria, such as the maximum price, and then see the search matches mapped.",Photos,06.14.2007,https://www.programmableweb.com/mashup/northern-colorado-real-estate-site,Microsoft Bing Maps,"Photos, Real Estate, Mapping",http://www.thegroupinc.com/map_search/,,
13,Search for commercial properties that are for sale across the United States.,Real Estate,06.14.2007,https://www.programmableweb.com/mashup/commercial-property-finder,Microsoft Bing Maps,"Real Estate, Mapping",http://www.coldwellbankercommercial.com/cbcbin/searchproperty,,
14,An MSNBC news site. Superimposes a VE map of the US and pushpin symbols that reveal key races during the 2006 election when the mouse is hovered over them.,Mapping,06.14.2007,https://www.programmableweb.com/mashup/key-political-races-map,Microsoft Bing Maps,"Mapping, Government, Government",http://www.msnbc.msn.com/id/14275232/,,
15,"Lord of the Rings Maptool, with the complete Gamemap using the Google Maps API. Also, there is a large database for gamers.",Games,06.14.2007,https://www.programmableweb.com/mashup/lord-rings-maptool,Google Maps,"Games, Mapping, Search",http://lotromaps.onlinewelten.com,,
16,This widget has been temporarily discontinued while I look for a new home for it,Widgets,06.13.2007,https://www.programmableweb.com/mashup/research-2.0-stock-portfolio-widget,Google Desktop,"Widgets, Financial, Financial",http://www.research2zero.com/Web20Reports.html,,
17,Google Maps mashup of community submitted hotel prices.,Travel,06.13.2007,https://www.programmableweb.com/mashup/travelgoop,Google Maps,"Travel, Mapping, Hotels",http://www.travelgoop.com,,
18,"Real estate mashup of luxury homes and condominiums on the Monterey Peninsula, California. It shows properties listed at $2.9 million and higher. It is updated daily with new listings.",Real Estate,06.12.2007,https://www.programmableweb.com/mashup/luxurymonterey.com,Google Maps,"Real Estate, Mapping",http://www.LuxuryMonterey.com,,
19,Database of Google Earth placemarks. Find or share your favorite places on earth with others.,Mapping,06.12.2007,https://www.programmableweb.com/mashup/youglobe,Google Maps,"Mapping, Travel",http://www.you-globe.com,,
20,"This is a mash-up of data from the OpenDOAR directory of Open Access Repositories with Google Maps and repository growth charts from ROAR, Registory of Open Access Repositories, developed by Stuart Lewis of the University of Aberystwyth, Wales.",Mapping,06.12.2007,https://www.programmableweb.com/mashup/repository66,"Google Maps, OpenDOAR",Mapping,http://maps.repository66.org/,,
21,"A 30-minute snapshot of Singapore Traffic Conditions through 40 island-wide cameras. Particularly interesting are the Causeway and 2nd Link cameras, where you can find heavier traffic flow.",Transportation,06.11.2007,https://www.programmableweb.com/mashup/singapore-traffic-cameras,Google Maps,"Transportation, Mapping",http://traffic.globalsync.com/,,
22,Google map of TB patient Andrew Speaker's journey across the Atlantic.,Mapping,06.11.2007,https://www.programmableweb.com/mashup/andrew-speaker-trip-across-atlantic,Google Maps,"Mapping, News Services",http://www.mibazaar.com/riskytrip.html,,
23,"map.movin360 shows a trip through the city of Berlin. The panoramic movie is synchronized to GoogleMaps. During the virtual tour, you can move the camera around. Get further information and view related photos.",Video,06.11.2007,https://www.programmableweb.com/mashup/virtual-tour-berlin,"Flickr, Google Maps","Video, Photos, Travel, Mapping, German",http://map.movin-360.com,,
24,"This site is a demo to show the functionality of the Shopping.com API version 3. Includes all local US,UK,DE,FR,AU.",eCommerce,06.11.2007,https://www.programmableweb.com/mashup/shopping.com-api-3-demo-all-markets,Shopping.com,"eCommerce, Referrals, Publishing",http://www.get-cash-back.com,,
25,A shopping mashup using Amazon API along with product databases and Google Maps.,Reference,06.10.2007,https://www.programmableweb.com/mashup/miserlymonkey.com,"Amazon Product Advertising, eBay, Google Maps","Reference, Search, eCommerce",http://www.miserlymonkey.com,,
26,"Map service for finding photos, videos, news stories, wiki articles, blogs, hotels, flights, events, and anything else we can about your world.",Social,06.10.2007,https://www.programmableweb.com/mashup/mymapps,Google Maps,"Social, Mapping, Photos, Video",http://www.mymapps.com/,,
27,Always updated geo-targeted web programming jobs. Neatly organized data from Indeed.com.,Application Development,06.10.2007,https://www.programmableweb.com/mashup/web-programming-jobs,"indeed, Google Maps","Application Development, Jobs",http://www.allapis.com/web-programming-jobs.aspx,,
28,A simple site that uses the Flickr API to download pictures for an entered user and view them on a larger scale.,Photos,06.10.2007,https://www.programmableweb.com/mashup/flickr-picture-viewer,Flickr,"Photos, Photos, Viewer, Search, Images",http://flickr.no-end.co.uk,,
29,A plotting library that allows you to draw arbitrary data as node graphs. Stunning visualization software for practical uses. It outputs svg and png images and has an interactive editor.,Visualizations,06.10.2007,https://www.programmableweb.com/mashup/small-wide-world,"MySpace, ProgrammableWeb, MTV","Visualizations, Mapping, Data, Hacking",http://small-wide-world.com/,,
30,Uses the Google Maps API for multi point driving directions. The user can select any Long Island winery and generate directions for their wine tour.,Mapping,06.10.2007,https://www.programmableweb.com/mashup/long-island-wineries-map,Google Maps,"Mapping, Travel, Food, Wine",http://www.northcork.org/map/vineyards,,
31,Web site dedicated to housing appreciation rates. Several mapping mashups being developed but currently available to registered users only.,Real Estate,06.09.2007,https://www.programmableweb.com/mashup/homevalence.com,"Yahoo Maps, Trulia","Real Estate, Mapping",http://www.homevalence.com,,
32,This service uses Yahoo and other tools to come up with suggestions using meta-data to make documents easier to find.,Advertising,06.09.2007,https://www.programmableweb.com/mashup/abramex,"Yahoo Related Suggestions, Yahoo Search Marketing","Advertising, SEO",http://www.abramex.com,,
33,"Browse through list of all the rivers of the world categorized by continent, country. The rivers coordinates are mapped in Google maps, along with photos got from flickr. Provision is given to visit the details about the river in Wikipedia from the Map.",Photos,06.09.2007,https://www.programmableweb.com/mashup/rivers-world,"Flickr, Google Maps","Photos, Mapping, Reference, Trivia, Photos, Education",http://www.rapidmonkey.com/riversoftheworld/,,
34,"The top 25 American cities with population greater than 250,000 ranked by percentage of bachelor degree holders among residents 25 years and older.",Trivia,06.08.2007,https://www.programmableweb.com/mashup/smartest-american-cities,Google Maps,"Trivia, Mapping, Reference, Video",http://srvgmaps.googlepages.com/SmartCities.html,,
35,STB uses the Google Ajax Search API to allow users to search the web for mp3s. It also uses the API to show YouTube videos alongside the search results.,Music,06.07.2007,https://www.programmableweb.com/mashup/search-beat,,"Music, Search, Video",http://searchthebeat.com/,,
36,Online travel blog with Flickr photo integration.,Photos,06.07.2007,https://www.programmableweb.com/mashup/travelpod,Flickr,"Photos, Travel, Blogging",http://www.travelpod.com/,,
37,More then 4 million used cars for sale. Data comes from the Vast API.,Auto,06.07.2007,https://www.programmableweb.com/mashup/used-cars-sale,Vast,"Auto, eCommerce",http://www.car-4-me.com,,
