,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,Shows the graphical location of an IP address mashed together with Google Maps and MaxMind's IP location database.,Mapping,05.20.2008,https://www.programmableweb.com/mashup/ip-location-lookup,Google Maps,"Mapping, SEO, Mapping",http://www.81solutions.com/server-location.html,,
1,"PolicyMap is a geographic information system which allows you to leverage 4000 market and demographic data types to create custom maps, tables, and charts.",Mapping,05.20.2008,https://www.programmableweb.com/mashup/policymap,Pushpin Location Data,"Mapping, Government, Analytics, Statistics, Demographics, Charts",http://www.policymap.com/,,
2,HomeWebShop.com is an online shopping site that combines Google Maps and Amazon.com shopping services.,eCommerce,05.19.2008,https://www.programmableweb.com/mashup/homewebshop,"Amazon Product Advertising, Google Maps","eCommerce, Search, Mapping",http://www.homewebshop.com,,
3,"Get breaking news from India, the world, cricket, business, Bollywood, and other headlines as they happen.",News Services,05.19.2008,https://www.programmableweb.com/mashup/hindustan-times-widget,"Google Gadgets, iGoogle Themes","News Services, Indian, Widgets",http://www.hindustantimes.com/gadget/gadget.xml,,
4,Snaplickr is a Flickr photos search tool and social utility. Users can bookmark favorite photos and leave comments for others. Rich Flash based UI.,Photos,05.19.2008,https://www.programmableweb.com/mashup/snaplickr,Flickr,"Photos, Search, Classification, Social",http://www.snaplickr.com/,,
5,"Tell Outalot where you are and it will show you the nearest restaurants, shops, bars, and movie theaters. Bookmark, rate, and share your favorite places. Broadcast your location via Twitter. Available online and on iPhone or other mobile devices.",Bars,05.16.2008,https://www.programmableweb.com/mashup/outalot,"Google Maps, Twitter, Fire Eagle","Bars, Localization, Search, Mobile, Restaurants",http://outalot.com,,
6,"An IM client that works on the iPhone and iTouch. It also works in regular browsers, but the styling and some of its behaviors work best on the iPhone.",Messaging,05.16.2008,https://www.programmableweb.com/mashup/tinybuddy-im,"WebAIM, AOL Open Auth",Messaging,http://x.aim.com/ty/,,
7,"Search engine that provides a variety of results from Yahoo, Google, YouTube, Ask, Digg, and others.",Bookmarks,05.16.2008,https://www.programmableweb.com/mashup/query-net,"YouTube, Digg","Bookmarks, Video, Search",http://querythe.net,,
8,A free service that lets you post reports on traffic and transit delays in your local area using Twitter or Pownce.,Blogging,05.15.2008,https://www.programmableweb.com/mashup/commuter-feed,"Yahoo Traffic, Twitter, Pownce","Blogging, Transportation, Transportation",http://www.commuterfeed.com,,
9,A application desktop to let you visualize data. Integrates the YouTube API.,Video,05.15.2008,https://www.programmableweb.com/mashup/bedesk,YouTube,"Video, Visualizations",http://www.bedesk.net,,
