,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,Keep track of your income and expenses. eBay Direct Import automatically imports all of your eBay transactions every hour.,Accounting,09.25.2007,https://www.programmableweb.com/mashup/keepmore,"eBay, Authorize.Net","Accounting, Auctions, eCommerce, Financial",http://www.keepmore.net,,
1,"YES is a year end summary for eBay Sellers. Get reports for 2006, and 2007 coming soon, that provide information on your sold and bought items. Analyze your performance and see the strengths and weaknesses of your eBay business.",Auctions,09.25.2007,https://www.programmableweb.com/mashup/yes-ebay,eBay,"Auctions, Financial, eCommerce",http://yes.sagefire.com,,
2,See how well you can pinpoint some major world cities.,Mapping,09.25.2007,https://www.programmableweb.com/mashup/geography-quiz,Google Maps,"Mapping, Games",http://mashup.omani.ac/google_maps/geography_quiz.php,,
3,Takes data submitted with a Formstack form and creates corresponding event entries on a Google Calendar.,Forms,09.24.2007,https://www.programmableweb.com/mashup/formstack-calendar,"Google Calendar, Formstack","Forms, Calendars, Events",http://blog.formstack.com/2007/09/07/using-google-calendar-with-the-formspring-api/,,
4,Takes data submitted with a Formstack form and syncs it with a Google Spreadsheet.,Spreadsheets,09.24.2007,https://www.programmableweb.com/mashup/formstack-spreadsheets,"Google Spreadsheets, Formstack","Spreadsheets, Forms, Database, Enterprise, Office",http://blog.formspring.com/2007/09/06/using-google-spreadsheets-with-the-formspring-api/,,
5,Takes addresses submitted with a Formstack form and displays the locations on a Google Maps map.,Mapping,09.24.2007,https://www.programmableweb.com/mashup/formstack-mapping,"Google Maps, Formstack","Mapping, Forms",http://blog.formstack.com/2007/09/05/using-google-maps-with-the-formspring-api/,,
6,A Silverlight 1.0-based photo carousel displaying interesting photos from Flickr. The application was implemented in Script#.,Photos,09.24.2007,https://www.programmableweb.com/mashup/silverlight-photo-carousel,Flickr,Photos,http://www.nikhilk.net/Prototypes/PhotoCarousel/,,
7,"Demonstrates Autodesk Freewheel. Allows you to search, preview, and download publicly available CAD files indexed by Google. It is free to use and leverages Google Search and Autodesk Freewheel Web services.",Search,09.24.2007,https://www.programmableweb.com/mashup/cadoogle,"Google Search, Autodesk Freewheel","Search, Design",http://www.cadoogle.com,,
8,Search for jobs by city name. Mashup of Indeed and Google Maps.,Jobs,09.24.2007,https://www.programmableweb.com/mashup/careersix,"indeed, Google Maps","Jobs, Mapping",http://www.careersix.com,,
9,Latest Web 2.0 news from various Web 2.0 news sites. Site uses Yahoo Pipes.,Application Development,09.23.2007,https://www.programmableweb.com/mashup/web-2.0-filter,,"Application Development, News Services, Feeds",http://www.allapis.com/web-2.0-filter.aspx,,
10,Visual-based search engine for kids.,Search,09.23.2007,https://www.programmableweb.com/mashup/quintura-kids,Yahoo Search,"Search, Family, Visualizations",http://quinturakids.com/,,
11,Small community that uses the Youtube API to show off and comment on videos in users profiles.,Video,09.23.2007,https://www.programmableweb.com/mashup/checker-forum.de,YouTube,"Video, Social, German",http://www.checker-forum.de/wbblite/portal.php,,
12,A 2-D shooter game that implements the Digg API.,News Services,09.22.2007,https://www.programmableweb.com/mashup/diggkiller,Digg,"News Services, Games, Humor, Bookmarks",http://www.kurtmargenau.com/diggkiller/,,
13,"Western Pennsylvania high school football map that shows schools in the WPIAL. Will eventually have basketball, wrestling, and hockey.",Sports,09.21.2007,https://www.programmableweb.com/mashup/ismapped,Google Maps,"Sports, Mapping",http://www.ismapped.com,,
14,"This is a mashup of craigslist and Google Maps. People can sell, rent, find houses or find roommates. Instead of entering a zip code, you actually fly there, and focus on the area you want to live in from a birds eye view..",Mapping,09.21.2007,https://www.programmableweb.com/mashup/byownerport.com,Google Maps,"Mapping, Real Estate",http://www.housingbymap.com,,
