,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," Gisgraphy is a framework that helps users integrate geocoding services into their Java applications and webservices. The data provided comes from GeoNames and OpenStreetMap. Users may also add their own data. Results from Gisgraphy can be output in XML, JSON, PHP, Python, Ruby, YAML, GeoRSS, and Atom.",12.22.2014,https://www.programmableweb.com/framework/gisgraphy,Java,,http://www.gisgraphy.com/,,
1," This library allows developers using Solaris to create their Bloomberg API with Perl. Solaris developers should note that these libraries can only be used with the Bloomberg Server API and B-Pipe data feed products (not the Desktop API). The Bloomberg API provides free, unrestricted access to raw financial data on current market trades (either real-time or delayed), reference data on historical information, and records of intraday trading. As part of their Open Market Data Initiative the library is offered under a ""free-use"" license, which allows unrestricted access of the interface's header files, documentation, and programming examples.",12.17.2014,https://www.programmableweb.com/framework/bloomberg-solaris-perl-library,PERL,Bloomberg,http://www.bloomberglabs.com/api/libraries/,http://www.bloomberglabs.com/api/libraries/,
2," Rest.li is an end to end framework optimal for building RESTful APIs. Some of the features of this framework combine approachable APIs for writing non-blocking client and server code using ParSeq, type-safe development using generated data and client bindings, and JAX-RS inspired annotation driven server side resource development. LinkedIn, the professional social media network, uses Rest.li due to its client-side load balance, consistency with services, and the development possibilities of new features. The requirements to work with Rest.li include Java 1.6+ and Gradle 1.8+ or SBT 0.13.0+. A step by step tutorial shows example source code, creation of server, and creation of client.",12.17.2014,https://www.programmableweb.com/framework/rest.li-java-framework,Java,,http://rest.li/index.html,https://github.com/linkedin/rest.li,
3," Java API for RESTful Services (JAX-RS) started as part of the Gen incubator, a community of developers who create projects for the general public. The website offers drafts of the API, specifications, and mailing lists to communicate with the expert group. The latest API proposals are available on the wiki site. Releases include JAX-RS 2.0, JAX-RS 1.1, JAX-RS 1.0, and JAX-RS 0.x. The newest version, JAX-RS 2.0, provides portable APIs to develop, expose, and access web applications in REST. Web resources and provider extensions are available. In the Java community site, users can view the different stages of the project along with links to access every result.",12.17.2014,https://www.programmableweb.com/framework/jax-rs-java-framework,Java,,https://jax-rs-spec.java.net/,https://jcp.org/en/jsr/detail?id=339,
4," Django REST framework in Python language aims to facilitate the creation of Web APIs. The requirements to work with Django include Python 2.6.5+, 2.7, 3.2, 3.3, 3.4 and Django 1.4.11+, 1.5.5+, 1.6, 1.7. Installation options are available either by using pip or by cloning from GitHub. Django has been used by Mozilla and Eventbrite. To visualize how this framework can fit into a developer's practices, an example is available with steps to follow. Benefits to develop include community support, customization, and extensive documentation.",12.17.2014,https://www.programmableweb.com/framework/django-python-framework,Python,,http://www.django-rest-framework.org/,https://github.com/tomchristie/django-rest-framework/tree/master,
5," Flask is a micro framework for Python supported by a BSD license. The documentation available on the website or downloadable in PDF or zipped HTML, contains built in developer and debugger, integrated unit testing support, RESTful request dispatching, Jinja2 templates, support for secure cookies, and WSGI 1.0 compliance. Sources of the examples of a microblog and a twitter clone made with Flask can be found on redirected links to GitHub. To contribute as developer, improver, or debugger Flask can be contacted on the IRC channel, the Feedback website, and the issue tracker.",12.17.2014,https://www.programmableweb.com/framework/flask-python-framework,Python,,http://flask.pocoo.org/,,
6," Microsoft ASP.NET Web API is a framework in .NET language that aims to facilitate HTTP building services in browsers and mobile devices. Two installing options are available: visual studio express 2013 and visual studio 2013 community. With the goal to instruct developers about the possibilities of application development, a tutorial has been published with a downloadable complete project. This project includes the steps to create an API web assignment that returns a list of products using JQuery. The specifications of adding a model, adding a controller, calling the Web API, and running the application are available for practice. Besides the rehearsal part, the site offers the following resources: mobile clients, routing, OData, serialization, testing/debugging, error handling, authentication, security, and API reference.",12.17.2014,https://www.programmableweb.com/framework/microsoft-asp.net-web-api-framework,.Net,,http://www.asp.net/web-api,,
7," Sinatra is an open source framework in Ruby. It is a domain-specific language that aims to accelerate web application development. Sinatra 1.3.0 version offers the feature of a streaming API while digesting differences between evented and sequential Rack servers. To imagine the possibilities of development, readers should consider that Apple, BBC, LinkedIn, and GitHub are some of the companies that use Sinatra. A book written by Alan Harris and Konstantin Haase, ""Sinatra: up and running"" is available for purchase. This resource contains additional information related to installation, routing, application/delegation, modular applications, and implementation of a blog engine.",12.17.2014,https://www.programmableweb.com/framework/sinatra-ruby-framework,Ruby,,http://www.sinatrarb.com/,https://github.com/sinatra/sinatra,
8," Fortune.js is a framework in Node.js language. This framework can prototype hypermedia APIs with JSON protocol. Some of the available resources include guides, docs, examples, and issue management. Particularly, the guide shows instructional procedures that help to create applications. For example, the specifications sections of defining resources, defining association between resources, before and after associations within resources, and advanced usage aim to differentiate the purpose of the framework. In this case, Fortune.js is not an MVC framework, but a JSON view response specified by the JSON API spec.",12.17.2014,https://www.programmableweb.com/framework/fortune.js-framework,Node.js,,http://fortunejs.com/,,
9," Expressjs.com is a framework in Node.js language. Thanks to the resources available that include an introductory guide, a general guide, and a community guide, Expressjs.com aims to facilitate development for desktop and mobile applications. The introductory guide offers installation, express generator, and FAQ. The general guide presents error handling, debugging express, express behind proxies, and middleware. The community guide is under the resources tab. It shows examples, issues, and a Google Group with over 5,000 discussions.",12.17.2014,https://www.programmableweb.com/framework/express.js-framework,Node.js,,http://expressjs.com/,https://github.com/strongloop/expressjs.com?_ga=1.204053650.325584554.1418229057,
