,Description,Category,Meta_Url,Source Code,Repository,Languages
0," This PHP example creates a new account link payload which includes scope, redirect URL, and reference ID. Also, this module creates a message and decodes user authorization.","Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-account-link-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/AccountLinkTest.ph...,,PHP
1, This PHP example demonstrates how to test payload method chaining. The application creates a new QR code payload.,"Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-payloads-test-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/PayloadsTest.php,,PHP
2, This Python example uses the appropriate package to perform simulated annealing. The simulation is run in threads using the ThreadPoolExecutor module.,"Hardware, Business",https://www.programmableweb.com/sample-source-code/d-wave-simulated-annealing-python-sample-code,https://github.com/dwavesystems/dwave-neal/blob/master/tests/test_simulated_anne...,,Python
3," This Python example performs transform method testing. This application checks if the implementation returns the most common value in the chain, and if value discarding works as intended.","Hardware, Business",https://www.programmableweb.com/sample-source-code/d-wave-embedding-transforms-python-sample-code,https://github.com/dwavesystems/dwave-system/blob/master/tests/test_embedding_tr...,,Python
4," This Python example demonstrates how to perform diagnostics related to chain overlapping, chain disconnections, invalid nodes, and missing edges.","Hardware, Business",https://www.programmableweb.com/sample-source-code/d-wave-embedding-diagnostic-python-sample-code,https://github.com/dwavesystems/dwave-system/blob/master/tests/test_embedding_di...,,Python
5, This Python example demonstrates how to use the System SDK to embed D-Wave chain breaks. This performs several matrix method tests.,"Hardware, Business",https://www.programmableweb.com/sample-source-code/d-wave-embedding-chain-breaks-python-sample-code,https://github.com/dwavesystems/dwave-system/blob/master/tests/test_embedding_ch...,,Python
6," This Python example demonstrates how to perform calls to get database path, start a clean connection, close the memory connection, and manipulate the database.","Hardware, Business",https://www.programmableweb.com/sample-source-code/d-wave-database-manager-test-python-sample-code,https://github.com/dwavesystems/dwave-system/blob/master/tests/test_database_man...,,Python
7, This example demonstrates how to list XEDI users in TypeScript. This test application calls the /1/users endpoint and returns a JSON positive response.,"Business, Documents",https://www.programmableweb.com/sample-source-code/xedi-list-users-typescript-sample-code,https://github.com/xedi/sdk-js/blob/master/tests/Unit/Users/List.test.ts,,JavaScript
8, TypeScript example that demonstrates how to retrieve a user by providing its ID and calling the /1/users endpoint. Positive responses are JSON formatted.,"Business, Documents",https://www.programmableweb.com/sample-source-code/xedi-get-users-typescript-sample-code,https://github.com/xedi/sdk-js/blob/master/tests/Unit/Users/Get.test.ts,,JavaScript
9, This TypeScript example demonstrates how to restore an Axios instance by providing its ID. This returns a JSON response with the results.,"Business, Documents",https://www.programmableweb.com/sample-source-code/xedi-restore-instance-typescript-sample-code,https://github.com/xedi/sdk-js/blob/master/tests/Unit/Instances/Restore.test.ts,,JavaScript
