,Description,Category,Meta_Url,Source Code,Repository,Languages
0, The Google Firebase Quickstart C++ Sample Code by Google provides a demonstration of how to add Firebase in C++ projects.,Applications,https://www.programmableweb.com/sample-source-code/google-firebase-quickstart-c-sample-code-google,https://github.com/firebase/quickstart-cpp,,C++
1," The Google Firebase Storage Quickstart Java Sample Code by Google demonstrates how to add Firebase storage in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device or emulator. A developer must enable anonymous authentication to be able to sign in into a project.","Applications, Cloud, Storage",https://www.programmableweb.com/sample-source-code/google-firebase-cloud-storage-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/storage,,Java
2," The Google Firebase Cloud Messaging Quickstart Java Sample Code by Google shows developers how to register Android apps message notifications and receipts. The InstanceID portal simplifies the registration process while the FirebaseMessagingService and FirebaseInstanceIDService support the client’s token refreshes and message processing. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device or emulator.","Messaging, Cloud, Notifications",https://www.programmableweb.com/sample-source-code/google-firebase-cloud-messaging-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/messaging,,Java
3," The Google Firebase Invites Quickstart Java Sample Code by Google demonstrates how developers can facilitate users to share apps with their acquaintances. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device or emulator.","Applications, File Sharing, Social",https://www.programmableweb.com/sample-source-code/google-firebase-invites-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/invites,,Java
4," The Google Firebase Dynamic Links Quickstart Java Sample Code by Google demonstrates how to add the Firebase dynamic links functionality in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the quickstart guide setup and sample configuration.","Applications, Linked Data",https://www.programmableweb.com/sample-source-code/google-firebase-dynamic-links-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/dynamiclinks,,Java
5," The Google Firebase Database Quickstart Java Sample Code by Google demonstrates how to add the Firebase database in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the Firebase Console login and email/password authentication.","Data-as-a-Service, Cloud, Database",https://www.programmableweb.com/sample-source-code/google-firebase-database-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/database,,Java
6," The Google Firebase Crash Quickstart Java Sample Code by Google demonstrates how to add the Firebase crash reporting functionality in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device.","Applications, Reporting",https://www.programmableweb.com/sample-source-code/google-firebase-crash-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/crash,,Java
7," The Google Firebase Config Quickstart Java Sample Code by Google demonstrates how to add the Firebase remote setup functionality in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device or emulator.",Applications,https://www.programmableweb.com/sample-source-code/google-firebase-config-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/config,,Java
8," The Google Firebase Auth Quickstart Java Sample Code by Google provides a demonstration for adding Fireabase Auth in Android applications. The sample code provides account setup paths for Google sing in, Facebook login, Twitter login, email/password, and custom authentication.","Applications, Authentication, Validation, Verification",https://www.programmableweb.com/sample-source-code/google-firebase-auth-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/auth,,Java
9," The Google Firebase App Indexing Quickstart Java Sample Code by Google shows how to facilitate the discovery of an app in Google Search. Its deployment starts with the addition Firebase into an Android project, followed by the opening of the App Indexing project in Android Studio and the running of the sample on an Android device.","Applications, Content, Linked Data, Search",https://www.programmableweb.com/sample-source-code/google-firebase-app-indexing-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/app-indexing,,Java
10," Google Firebase Analytics Quickstart Java Sample Code by Google demonstrates how to add the Firebase analytics functionality in Android apps. Its deployment starts with the addition Firebase into an Android project, followed by the running of the sample on an Android device.","Applications, Analytics",https://www.programmableweb.com/sample-source-code/google-firebase-analytics-quickstart-java-sample-code-google,https://github.com/firebase/quickstart-android/tree/master/analytics,,Java
